query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_138_read_170	170	1647	1587	81	1071	385	191	131	707
channel_85_read_30	30	12958	13001	438	8470	3298	1190	1233	5721
channel_406_read_278	278	1672	1731	53	1305	257	110	169	536
channel_451_read_264	264	13511	13782	2610	8950	3452	1109	1380	5941
channel_402_read_62	62	1747	1811	58	1395	231	121	185	537
channel_68_read_174	174	6600	6771	121	4947	1147	506	677	2330
channel_387_read_312	312	2124	2199	23	1682	300	142	217	659
channel_388_read_90	90	2073	1970	59	1529	341	203	100	644
channel_387_read_313	313	1709	1766	19	1365	247	97	154	498
channel_477_read_105	105	1393	1485	30	1126	195	72	164	431
channel_374_read_91	91	9787	9762	8779	7532	1446	809	784	3039
channel_374_read_92	92	6553	6123	840	3974	1692	887	457	3036
channel_477_read_106	106	2005	1999	44	1328	460	217	211	888
channel_441_read_31	31	7824	7472	86	5862	1218	744	392	2354
channel_477_read_100	100	8937	8645	68	7082	1159	696	404	2259
channel_374_read_96	96	4440	4341	18	3678	421	341	242	1004
channel_374_read_97	97	11514	11249	1330	7842	2505	1167	902	4574
channel_54_read_134	134	2199	2168	67	1602	380	217	186	783
channel_54_read_135	135	7430	7552	253	5721	1166	543	665	2374
channel_104_read_39	39	2430	2663	38	1715	584	131	364	1079
channel_477_read_108	108	1838	1862	24	1481	244	113	137	494
channel_489_read_255	255	7532	8002	74	6036	1147	349	819	2315
channel_406_read_273	273	1219	1236	380	925	195	99	116	410
channel_39_read_238	238	2818	3082	61	2123	548	147	411	1106
channel_39_read_239	239	3009	3282	39	2266	589	154	427	1170
channel_301_read_98	98	7872	8006	410	6051	1197	624	758	2579
channel_226_read_136	136	12264	12921	53	9929	1634	701	1358	3693
channel_226_read_137	137	1976	1884	6	1554	218	204	112	534
channel_301_read_94	94	8647	8416	5	7121	908	618	387	1913
channel_301_read_95	95	9662	9916	58	6849	2086	727	981	3794
channel_506_read_140	140	5502	5791	140	4405	796	301	590	1687
channel_39_read_231	231	6189	6628	90	4833	1036	320	759	2115
channel_301_read_90	90	9475	9000	35	7727	901	847	372	2120
channel_301_read_91	91	9456	9360	18	7651	1103	702	606	2411
channel_301_read_92	92	3296	3110	147	2566	375	355	169	899
channel_479_read_119	119	1532	1526	249	1019	341	172	166	679
channel_194_read_36	36	7731	7950	57	6352	927	452	671	2050
channel_194_read_37	37	11003	12311	959	7965	2440	598	1906	4944
channel_418_read_23	23	1460	1495	42	1220	151	89	124	364
channel_386_read_94	94	5008	5008	2	3813	807	388	388	1583
channel_194_read_32	32	6206	6279	2	5177	669	360	433	1462
channel_194_read_33	33	8055	8411	19	5942	1564	549	905	3018
channel_194_read_31	31	9606	9857	74	8195	885	526	777	2188
channel_294_read_90	90	5664	5706	34	4548	681	435	477	1593
channel_434_read_104	104	8672	9519	20	6566	1699	407	1254	3360
channel_479_read_114	114	4596	4534	38	3680	587	329	267	1183
channel_165_read_114	114	5453	5461	6	4411	647	395	403	1445
channel_165_read_113	113	11704	13097	90	9662	1578	464	1857	3899
channel_165_read_111	111	3326	3239	27	2535	486	305	218	1009
channel_445_read_250	250	2728	2805	35	2241	319	168	245	732
channel_287_read_143	143	2422	2529	18	1812	419	191	298	908
channel_489_read_24	24	8978	9021	68	7371	1020	587	630	2237
channel_314_read_223	223	1278	1289	19	1011	177	90	101	368
channel_275_read_157	157	4526	4352	14	3204	835	487	313	1635
channel_275_read_154	154	11371	12362	115	8153	2494	724	1715	4933
channel_489_read_25	25	8058	7784	29	6563	848	647	373	1868
channel_427_read_96	96	11450	12179	90	8288	2416	746	1475	4637
channel_382_read_117	117	5948	5887	12	4521	901	526	465	1892
channel_275_read_150	150	3106	3041	1	2124	660	322	257	1239
channel_275_read_151	151	7458	7775	55	5799	1180	479	796	2455
channel_453_read_19	19	7820	6907	923	4738	1810	1272	359	3441
channel_434_read_105	105	6198	6378	75	4650	1104	444	624	2172
channel_275_read_158	158	6587	6424	12	5325	732	530	367	1629
channel_386_read_116	116	7414	7315	115	5085	1561	768	669	2998
channel_309_read_174	174	6235	6012	7	5029	653	553	330	1536
channel_301_read_208	208	8050	8116	7	6289	1150	611	677	2438
channel_301_read_209	209	6037	6315	12	4664	988	385	663	2036
channel_351_read_6	6	15289	15844	20	12541	1918	830	1385	4133
channel_301_read_202	202	8031	8050	22	6770	726	535	554	1815
channel_104_read_155	155	6857	7000	60	5447	913	497	640	2050
channel_390_read_74	74	1609	1600	142	1210	255	144	135	534
channel_19_read_37	37	8038	8608	232	5946	1589	503	1073	3165
channel_390_read_76	76	6906	7022	74	5750	776	380	496	1652
channel_390_read_70	70	4713	4365	131	3479	702	532	184	1418
channel_390_read_72	72	2186	2184	66	1778	268	140	138	546
channel_19_read_36	36	10425	10880	45	7881	1862	682	1137	3681
channel_309_read_170	170	4358	4279	15	3401	620	337	258	1215
channel_495_read_34	34	1143	1254	299	902	180	61	172	413
channel_495_read_35	35	15427	15495	530	12606	1740	1081	1149	3970
channel_495_read_30	30	18147	17236	48	14267	2165	1715	804	4684
channel_90_read_45	45	1820	1804	31	1446	231	143	127	501
channel_253_read_40	40	13714	13716	61	10945	1802	967	969	3738
channel_332_read_30	30	7840	8426	82	6348	1081	411	997	2489
channel_19_read_33	33	11410	11774	34	9122	1584	704	1068	3356
channel_143_read_71	71	2138	2265	264	1619	404	115	242	761
channel_423_read_28	28	9369	10227	421	6569	2214	586	1444	4244
channel_2_read_182	182	4570	4908	86	3638	748	184	522	1454
channel_506_read_64	64	6736	7922	26	5294	1190	252	1438	2880
channel_318_read_66	66	8679	9313	134	6541	1629	509	1143	3281
channel_318_read_65	65	14321	15215	112	10755	2739	827	1721	5287
channel_284_read_26	26	4431	4776	34	3471	755	205	550	1510
channel_284_read_21	21	8450	8787	26	6491	1472	487	824	2783
channel_285_read_8	8	6534	6740	63	5343	834	357	563	1754
channel_284_read_22	22	5714	5824	153	4059	1190	465	575	2230
channel_285_read_1	1	4606	5062	46	3635	799	172	628	1599
channel_285_read_0	0	5839	6015	51	4942	636	261	437	1334
channel_318_read_68	68	8712	8854	31	6806	1322	584	726	2632
channel_201_read_234	234	4748	4895	13	3795	702	251	398	1351
channel_387_read_300	300	2608	2508	50	1978	393	237	137	767
channel_221_read_79	79	11865	11777	68	8797	2071	997	909	3977
channel_387_read_304	304	4631	4696	4	3521	782	328	393	1503
